2024-04-16 13:25:51 INFO     Learing Rate: 0.001
2024-04-16 13:25:51 INFO     Seed: 234
2024-04-16 13:26:32 INFO     Epoch: 1420, Score: 9, Loss: -3.542746067047119, Train Reward: 11, Eval Reward: 11
2024-04-16 13:26:32 INFO     Epoch: 1430, Score: 7, Loss: 7.311672687530518, Train Reward: 9, Eval Reward: 9
2024-04-16 13:26:33 INFO     Epoch: 1440, Score: 14, Loss: 3.5475077629089355, Train Reward: 12, Eval Reward: 16
2024-04-16 13:26:33 INFO     Epoch: 1450, Score: 9, Loss: -6.355403423309326, Train Reward: 11, Eval Reward: 11
2024-04-16 13:26:33 INFO     Epoch: 1460, Score: 7, Loss: 4.597052097320557, Train Reward: 12, Eval Reward: 9
2024-04-16 13:26:33 INFO     Epoch: 1470, Score: 5, Loss: -3.9996156692504883, Train Reward: 11, Eval Reward: 7
2024-04-16 13:26:34 INFO     Epoch: 1480, Score: 9, Loss: -2.0000102519989014, Train Reward: 15, Eval Reward: 11
2024-04-16 13:26:34 INFO     Epoch: 1490, Score: 6, Loss: -2.0365347862243652, Train Reward: 10, Eval Reward: 8
2024-04-16 13:26:34 INFO     Epoch: 1500, Score: 7, Loss: 2.6045756340026855, Train Reward: 8, Eval Reward: 9
2024-04-16 13:26:34 INFO     Epoch: 1510, Score: 7, Loss: -2.726917266845703, Train Reward: 12, Eval Reward: 9
2024-04-16 13:26:35 INFO     Epoch: 1520, Score: 7, Loss: -0.9663007855415344, Train Reward: 11, Eval Reward: 9
2024-04-16 13:26:35 INFO     Epoch: 1530, Score: 8, Loss: -1.809403657913208, Train Reward: 11, Eval Reward: 10
2024-04-16 13:26:35 INFO     Epoch: 1540, Score: 6, Loss: -4.177616119384766, Train Reward: 9, Eval Reward: 8
2024-04-16 13:26:36 INFO     Epoch: 1550, Score: 6, Loss: -3.097548246383667, Train Reward: 8, Eval Reward: 8
2024-04-16 13:26:36 INFO     Epoch: 1560, Score: 7, Loss: -4.002345561981201, Train Reward: 9, Eval Reward: 9
2024-04-16 13:26:36 INFO     Epoch: 1570, Score: 11, Loss: -2.2311716079711914, Train Reward: 10, Eval Reward: 13
2024-04-16 13:26:36 INFO     Epoch: 1580, Score: 10, Loss: 1.242702603340149, Train Reward: 11, Eval Reward: 12
2024-04-16 13:26:37 INFO     Epoch: 1590, Score: 9, Loss: -11.160025596618652, Train Reward: 10, Eval Reward: 11
2024-04-16 13:26:37 INFO     Epoch: 1600, Score: 6, Loss: -5.271366119384766, Train Reward: 17, Eval Reward: 8
2024-04-16 13:26:37 INFO     Epoch: 1610, Score: 10, Loss: -7.050626754760742, Train Reward: 11, Eval Reward: 12
2024-04-16 13:26:37 INFO     Epoch: 1620, Score: 7, Loss: -2.3682777881622314, Train Reward: 12, Eval Reward: 9
2024-04-16 13:26:38 INFO     Epoch: 1630, Score: 7, Loss: 3.757298469543457, Train Reward: 10, Eval Reward: 9
2024-04-16 13:26:38 INFO     Epoch: 1640, Score: 7, Loss: -10.144747734069824, Train Reward: 9, Eval Reward: 9
2024-04-16 13:26:38 INFO     Epoch: 1650, Score: 9, Loss: 0.7075284123420715, Train Reward: 12, Eval Reward: 11
2024-04-16 13:26:38 INFO     Epoch: 1660, Score: 6, Loss: -4.290107250213623, Train Reward: 11, Eval Reward: 8
2024-04-16 13:26:39 INFO     Epoch: 1670, Score: 8, Loss: -0.7288320064544678, Train Reward: 10, Eval Reward: 10
2024-04-16 13:26:39 INFO     Epoch: 1680, Score: 8, Loss: -2.641967296600342, Train Reward: 15, Eval Reward: 10
2024-04-16 13:26:39 INFO     Epoch: 1690, Score: 10, Loss: 1.513746976852417, Train Reward: 9, Eval Reward: 12
2024-04-16 13:26:39 INFO     Epoch: 1700, Score: 7, Loss: 2.094921350479126, Train Reward: 9, Eval Reward: 9
2024-04-16 13:26:40 INFO     Epoch: 1710, Score: 7, Loss: -3.186638593673706, Train Reward: 8, Eval Reward: 9
2024-04-16 13:26:40 INFO     Epoch: 1720, Score: 7, Loss: 0.02805626392364502, Train Reward: 11, Eval Reward: 9
2024-04-16 13:26:40 INFO     Epoch: 1730, Score: 7, Loss: 0.2867148518562317, Train Reward: 14, Eval Reward: 9
2024-04-16 13:26:40 INFO     Epoch: 1740, Score: 12, Loss: -3.2237706184387207, Train Reward: 8, Eval Reward: 14
2024-04-16 13:26:41 INFO     Epoch: 1750, Score: 6, Loss: -2.828615427017212, Train Reward: 10, Eval Reward: 8
2024-04-16 13:26:41 INFO     Epoch: 1760, Score: 8, Loss: -1.34499192237854, Train Reward: 13, Eval Reward: 10
2024-04-16 13:26:41 INFO     Epoch: 1770, Score: 8, Loss: -5.272845268249512, Train Reward: 10, Eval Reward: 10
2024-04-16 13:26:41 INFO     Epoch: 1780, Score: 7, Loss: -1.661872386932373, Train Reward: 11, Eval Reward: 9
2024-04-16 13:26:42 INFO     Epoch: 1790, Score: 8, Loss: -2.212494373321533, Train Reward: 11, Eval Reward: 10
2024-04-16 13:26:42 INFO     Epoch: 1800, Score: 7, Loss: -2.914721965789795, Train Reward: 9, Eval Reward: 9
2024-04-16 13:26:42 INFO     Epoch: 1810, Score: 7, Loss: -1.4163326025009155, Train Reward: 12, Eval Reward: 9
2024-04-16 13:26:42 INFO     Epoch: 1820, Score: 5, Loss: -2.82379412651062, Train Reward: 8, Eval Reward: 7
2024-04-16 13:26:43 INFO     Epoch: 1830, Score: 8, Loss: 0.5811823010444641, Train Reward: 11, Eval Reward: 10
2024-04-16 13:26:43 INFO     Epoch: 1840, Score: 7, Loss: -6.2442145347595215, Train Reward: 10, Eval Reward: 9
2024-04-16 13:26:43 INFO     Epoch: 1850, Score: 11, Loss: -5.109010219573975, Train Reward: 13, Eval Reward: 13
2024-04-16 13:26:44 INFO     Epoch: 1860, Score: 8, Loss: -0.38430535793304443, Train Reward: 17, Eval Reward: 10
2024-04-16 13:26:44 INFO     Epoch: 1870, Score: 7, Loss: 0.2311764359474182, Train Reward: 10, Eval Reward: 9
2024-04-16 13:26:44 INFO     Epoch: 1880, Score: 6, Loss: 2.883347272872925, Train Reward: 11, Eval Reward: 8
2024-04-16 13:26:44 INFO     Epoch: 1890, Score: 7, Loss: -4.4373602867126465, Train Reward: 10, Eval Reward: 9
